Reporting Period,Project Number,Legacy Project Number,City
6/30/21,99090,,Queens
6/30/21,159787,,Ozone Park
6/30/21,188652,,Flushing
6/30/21,155831,,Queens
6/30/21,34943,4704-64817,Jericho
6/30/21,65507,4154-0310-Financing,Shoreham
6/30/21,260089,,Brooklyn
6/30/21,38338,4704-68813,Valley Stream
6/30/21,65093,4704-100240,Gansevoort
6/30/21,59651,4944-81434,Copiague
6/30/21,263845,,Yonkers
6/30/21,120076,,Queens
6/30/21,69919,,Amsterdam
6/30/21,208974,,Bronx
6/30/21,44187,4704-91390,Farmingdale
6/30/21,252231,,East Quogue
6/30/21,275541,,Seaford
6/30/21,263215,,Hicksville
6/30/21,298841,,Howard Beach
6/30/21,2375,17946-20,Callicoon Center
6/30/21,153101,,Bronx
6/30/21,293770,,Baldwin
6/30/21,72562,,Medford
6/30/21,278025,,Brooklyn
6/30/21,37196,4704-67403,Bay Shore
